x,y,hue,cat,location,name
5.612798,22.04504,5,"FinTech, Insurance, InsurTech, Machine Learning",Bay Area,InsureLife.io
21.537533,-23.081934,5,"Audio, Document Management, Media and Entertainment, Video",Bay Area,Simon Says
21.733055,-22.958614,5,"Advertising, Financial Services, Machine Learning, Marketplace",Bay Area,Aquila Services Inc.
5.2930813,20.597696,5,"Image Recognition, Internet, Software",Bay Area,IAMBOT Inc.
25.367142,-24.867296,5,"Health Care, Internet",Bay Area,DataThinker AI
7.223055,7.389304,5,"3D Printing, Augmented Reality, Drones, Product Design, Robotics, Software, Virtual Reality",Bay Area,Activa Inc
25.495806,-25.341793,5,"Big Data, Internet, Machine Learning, SaaS, Software",Bay Area,FUND:THIS
1.6443633,18.773422,4,"Information Technology, Messaging, Natural Language Processing, Virtual Assistant",New York,Aiko AI
-27.864794,8.233173,5,"Information Technology, Machine Learning, Sales Automation",Bay Area,Inversation
25.495464,-25.34383,5,"Big Data, Fashion, Logistics, Machine Learning, Retail, Retail Technology",Bay Area,Gyfted
21.517439,1.7966549,5,"Advertising Platforms, Augmented Reality, Blockchain, Event Management, Information Technology, Machine Learning, Meeting Software, Messaging, Mobile Advertising, Professional Networking, Social Network, Virtual Reality",Bay Area,Popvue
1.7029102,18.834929,2,Biotechnology,Los Angeles,Verdant AI
-27.791727,8.339607,5,"3D Printing, Autonomous Vehicles, Delivery, Electric Vehicle, Machine Learning, Robotics",Bay Area,Pixmoving
12.0097275,-50.49546,5,"Machine Learning, Retail Technology",Bay Area,"YesPlz, Inc."
-34.792572,27.561302,5,Health Care,Bay Area,Merit.ai
6.2850986,22.459988,4,"Information Services, Information Technology, Machine Learning, Software",New York,Propertymate
26.366606,-28.175009,4,Information Technology,New York,Context Insights
13.88088,6.1708975,5,"Insurance, Machine Learning",Bay Area,Resure Technology
-8.564631,-1.9046726,5,"Consumer Electronics, Intelligent Systems, Mobile Apps, Software",Bay Area,Observant AI
11.866581,-49.39813,5,"Machine Learning, Productivity Tools, Software",Bay Area,Move 37
8.93448,4.5756636,3,"Enterprise Software, Human Resources, Software",Boston,AskHR
41.68396,16.666044,5,Artificial Intelligence,Bay Area,Nestor
-14.529341,-3.2747786,5,"Agriculture, AgTech, CleanTech, Farming, Machine Learning, Water",Bay Area,ConserWater Technologies
-17.931505,-28.757387,2,"Analytics, Gaming, Information Technology",Los Angeles,Embody Digital
40.075287,17.793007,5,"Collaboration, Enterprise Applications, Internet, Machine Learning, Messaging, SaaS, Video Conferencing",Bay Area,Unmeeting
32.08119,23.711885,5,"Analytics, Business Intelligence, Data Mining, Intelligent Systems, Machine Learning, Predictive Analytics, Software",Bay Area,Tresl
-11.116785,45.885254,4,"Big Data, Computer Vision, FinTech, Health Care, Natural Language Processing",New York,GenoNova
38.623524,19.19593,0,"Big Data, Blockchain, Construction, Logistics, Machine Learning, Marketplace, Predictive Analytics, SaaS, Supply Chain Management",Austin,BuyChain
13.785746,5.5604677,4,Insurance,New York,Harbor.ai
-14.941787,-3.182433,5,"Digital Marketing, Information Technology, Marketing, Marketing Automation, Marketplace, Messaging, Mobile, Mobile Apps, Sales",Bay Area,Neural Edge
17.712067,3.1450698,5,"Computer Vision, Fitness, Machine Learning, Sports, Training, Wellness",Bay Area,Kinima
21.221523,1.4828823,4,"Computer Vision, Drones, Geospatial, Machine Learning",New York,TaQadam
5.673979,11.102084,5,"Drones, Robotics, Security",Bay Area,AeroShield
2.0478406,-14.38156,5,"Information Technology, Machine Learning, Risk Management",Bay Area,Apical Technology
11.7165985,-51.706543,5,"Construction, Machine Learning, Natural Language Processing, Virtual Assistant",Bay Area,nyfty.ai
-20.398813,-27.967962,4,"Information Technology, Machine Learning, SaaS, Software",New York,Skyl.ai
